StationNames,Year,Month,Rainfall,StationIndex
Srimangal,1971,4,0,30
Srimangal,1971,5,0,30
Srimangal,1971,6,0,30
Srimangal,1971,7,95,30
Srimangal,1971,8,212,30
Srimangal,1971,9,116,30
Srimangal,1971,10,249,30
Srimangal,1971,11,99,30
Srimangal,1971,12,0,30
Sylhet,1971,1,22,31
Sylhet,1971,2,7,31
Sylhet,1971,3,62,31
Sylhet,1971,4,0,31
Sylhet,1971,5,11,31
Sylhet,1971,6,710,31
Sylhet,1971,7,510,31
Sylhet,1971,8,571,31
Sylhet,1971,9,349,31
Sylhet,1971,10,259,31
Sylhet,1971,11,85,31
Sylhet,1971,12,0,31
Barisal,1972,1,0,2
Barisal,1972,2,58,2
Barisal,1972,3,0,2
Barisal,1972,4,121,2
Barisal,1972,5,130,2
Barisal,1972,6,262,2
Barisal,1972,7,248,2
Barisal,1972,8,458,2
Barisal,1972,9,90,2
Barisal,1972,10,29,2
Barisal,1972,11,0,2
Barisal,1972,12,0,2
Bhola,1972,1,0,3
Bhola,1972,2,13,3
Bhola,1972,3,0,3
Bhola,1972,4,59,3
Bhola,1972,5,64,3
Bhola,1972,6,512,3
Bhola,1972,7,242,3
Bhola,1972,8,586,3
Bhola,1972,9,42,3
Bhola,1972,10,167,3
Bhola,1972,11,0,3
Bhola,1972,12,0,3
Bogra,1972,1,3,4
Bogra,1972,2,16,4
Bogra,1972,3,14,4
Bogra,1972,4,6,4
Bogra,1972,5,134,4
Bogra,1972,6,268,4
Bogra,1972,7,307,4
Bogra,1972,8,261,4
Bogra,1972,9,137,4
Bogra,1972,10,101,4
Bogra,1972,11,0,4
Bogra,1972,12,0,4
Chittagong (IAP-Patenga),1972,1,0,6
Chittagong (IAP-Patenga),1972,2,2,6
Chittagong (IAP-Patenga),1972,3,0,6
Chittagong (IAP-Patenga),1972,4,87,6
Chittagong (IAP-Patenga),1972,5,15,6
Chittagong (IAP-Patenga),1972,6,457,6
Chittagong (IAP-Patenga),1972,7,372,6
Chittagong (IAP-Patenga),1972,8,565,6
Chittagong (IAP-Patenga),1972,9,0,6
Chittagong (IAP-Patenga),1972,10,88,6
Chittagong (IAP-Patenga),1972,11,0,6
Chittagong (IAP-Patenga),1972,12,0,6
Comilla,1972,1,0,7
Comilla,1972,2,0,7
Comilla,1972,3,15,7
Comilla,1972,4,117,7
Comilla,1972,5,252,7
Comilla,1972,6,369,7
Comilla,1972,7,206,7
Comilla,1972,8,385,7
Comilla,1972,9,69,7
Comilla,1972,10,57,7
Comilla,1972,11,1,7
Comilla,1972,12,0,7
CoxsBazar,1972,1,0,8
CoxsBazar,1972,2,4,8
