Year,Month,Station,Forecasted_Temperature
2022,9,24,32.14559996293203
2022,9,25,33.18018793021215
2022,9,26,32.42740186022337
2022,9,27,32.505977640315955
2022,9,28,31.60805975918455
2022,9,29,32.58420709624266
2022,9,30,32.71400776816476
2022,9,31,32.11999518959354
2022,9,32,32.30905933095556
2022,9,33,31.99535484278181
2022,9,34,32.62694739689866
2022,9,35,31.3956109232301
2023,9,1,32.16698670314657
2023,9,2,32.213964690642435
2023,9,3,32.73570964505196
2023,9,4,32.41123537791485
2023,9,5,32.04016080459304
2023,9,6,31.93455550173856
2023,9,7,33.267748044399454
2023,9,8,32.19660222962853
2023,9,9,31.66877251332888
2023,9,10,32.229605906735706
2023,9,11,32.9800882646522
2023,9,12,32.65731042475985
2023,9,13,32.0114588549776
2023,9,14,31.68938083610284
2023,9,15,32.82285386499965
2023,9,16,33.098197273647216
2023,9,17,32.17631609833576
2023,9,18,32.56430670953391
2023,9,19,31.673672838299524
2023,9,20,32.2683474208983
2023,9,21,32.32865100735652
2023,9,22,32.34507406680316
2023,9,23,32.28187650867414
2023,9,24,32.19271888321775
2023,9,25,33.23871097586226
2023,9,26,32.46205273880244
2023,9,27,32.56183050515477
2023,9,28,31.666278959627636
2023,9,29,32.59609861642294
2023,9,30,32.75011930371863
2023,9,31,32.167912683856336
2023,9,32,32.35952869689444
2023,9,33,32.055181682578606
2023,9,34,32.691890101269934
2023,9,35,31.40728497462353
2024,9,1,32.19832920378217
2024,9,2,32.23750632543693
2024,9,3,32.78550490861651
2024,9,4,32.46142687275671
2024,9,5,32.049453903670205
2024,9,6,31.93541671896239
2024,9,7,33.3191200841993
2024,9,8,32.230340452158714
2024,9,9,31.70102206769099
2024,9,10,32.25946941576092
2024,9,11,33.04977861357046
2024,9,12,32.71322129819453
2024,9,13,32.03701882444131
2024,9,14,31.7289382589936
2024,9,15,32.8751130960325
2024,9,16,33.14526119010405
2024,9,17,32.219155925208184
2024,9,18,32.59687508231618
2024,9,19,31.703085112244523
2024,9,20,32.28231584462787
2024,9,21,32.38901362511817
2024,9,22,32.36202033615533
2024,9,23,32.33753629987047
2024,9,24,32.23983780350346
2024,9,25,33.297234021512374
2024,9,26,32.496703617381506
2024,9,27,32.61768336999357
2024,9,28,31.72449816007072
2024,9,29,32.607990136603235
2024,9,30,32.786230839272484
2024,9,31,32.215830178119134
2024,9,32,32.409998062833324
2024,9,33,32.1150085223754
2024,9,34,32.7568328056412
2024,9,35,31.41895902601696
2025,9,1,32.229671704417775
2025,9,2,32.26104796023143
2025,9,3,32.835300172181064
2025,9,4,32.51161836759858
2025,9,5,32.05874700274736
2025,9,6,31.936277936186222
2025,9,7,33.37049212399915
2025,9,8,32.26407867468889
2025,9,9,31.733271622053092
2025,9,10,32.28933292478613
2025,9,11,33.11946896248872
2025,9,12,32.76913217162922
2025,9,13,32.06257879390502
2025,9,14,31.76849568188436
2025,9,15,32.92737232706535
2025,9,16,33.19232510656089
2025,9,17,32.2619957520806
2025,9,18,32.62944345509846
2025,9,19,31.73249738618952
2025,9,20,32.29628426835743
2025,9,21,32.449376242879815
2025,9,22,32.37896660550751
2025,9,23,32.393196091066805
2025,9,24,32.286956723789174
2025,9,25,33.35575706716249
2025,9,26,32.53135449596058
2025,9,27,32.67353623483238
2025,9,28,31.782717360513807
2025,9,29,32.61988165678353
2025,9,30,32.82234237482634
2025,9,31,32.263747672381925
2025,9,32,32.46046742877221
2025,9,33,32.17483536217219
2025,9,34,32.82177551001248
2025,9,35,31.43063307741039
2026,9,1,32.26101420505337
2026,9,2,32.28458959502593
2026,9,3,32.88509543574562
2026,9,4,32.56180986244044
2026,9,5,32.06804010182452
2026,9,6,31.93713915341006
2026,9,7,33.42186416379899
2026,9,8,32.297816897219064
2026,9,9,31.76552117641521
2026,9,10,32.31919643381134
2026,9,11,33.189159311406975
2026,9,12,32.8250430450639
2026,9,13,32.08813876336873
2026,9,14,31.808053104775112
2026,9,15,32.9796315580982
2026,9,16,33.23938902301772
2026,9,17,32.304835578953025
2026,9,18,32.66201182788074
2026,9,19,31.761909660134517
2026,9,20,32.310252692087
2026,9,21,32.50973886064147
2026,9,22,32.39591287485969
2026,9,23,32.44885588226314
2026,9,24,32.33407564407489
2026,9,25,33.414280112812605
2026,9,26,32.56600537453964
2026,9,27,32.72938909967119
2026,9,28,31.84093656095689
2026,9,29,32.63177317696382
2026,9,30,32.8584539103802
2026,9,31,32.31166516664472
2026,9,32,32.51093679471109
2026,9,33,32.23466220196898
2026,9,34,32.886718214383755
2026,9,35,31.442307128803822
2027,9,1,32.292356705688974
2027,9,2,32.30813122982043
2027,9,3,32.93489069931017
2027,9,4,32.61200135728231
2027,9,5,32.07733320090168
2027,9,6,31.938000370633898
2027,9,7,33.47323620359884
2027,9,8,32.33155511974924
2027,9,9,31.797770730777312
2027,9,10,32.34905994283655
2027,9,11,33.25884966032523
2027,9,12,32.880953918498584
2027,9,13,32.11369873283245
2027,9,14,31.847610527665868
2027,9,15,33.03189078913105
2027,9,16,33.286452939474565
2027,9,17,32.34767540582545
2027,9,18,32.69458020066301
2027,9,19,31.79132193407951
2027,9,20,32.32422111581656
2027,9,21,32.57010147840312
2027,9,22,32.412859144211865
2027,9,23,32.50451567345947
2027,9,24,32.381194564360605
2027,9,25,33.47280315846272
2027,9,26,32.600656253118714
2027,9,27,32.78524196451
2027,9,28,31.899155761399975
2027,9,29,32.643664697144104
2027,9,30,32.894565445934056
2027,9,31,32.35958266090752
2027,9,32,32.56140616064998
2027,9,33,32.29448904176577
2027,9,34,32.95166091875503
2027,9,35,31.45398118019725
2018,10,1,31.8483004879001
2018,10,2,31.93796386980222
2018,10,3,32.07511886570059
2018,10,4,32.091171054264784
2018,10,5,32.031821872065976
