DATE,Station,Forecasted_Temperature
08/01/2026,17,31.45355685038377
08/01/2026,18,32.197879411087136
08/01/2026,19,31.113388972056114
08/01/2026,20,31.84212238141131
08/01/2026,21,31.8840963544724
08/01/2026,22,31.94102304462646
08/01/2026,23,32.013432528203545
08/01/2026,24,31.634578576517185
08/01/2026,25,33.003056188861336
08/01/2026,26,32.21233031545143
08/01/2026,27,32.33241916732191
08/01/2026,28,31.201561453347463
08/01/2026,29,32.12678660766727
08/01/2026,30,32.91637357033393
08/01/2026,31,31.53866943957973
08/01/2026,32,32.16303740548701
08/01/2026,33,31.63645926135896
08/01/2026,34,32.52084697500105
08/01/2026,35,30.64202243389934
08/01/2027,1,31.837938863998847
08/01/2027,2,31.753836349566203
08/01/2027,3,32.47704457201081
08/01/2027,4,32.143202254863304
08/01/2027,5,31.35073046581828
08/01/2027,6,31.21268429966294
08/01/2027,7,32.95359677412318
08/01/2027,8,31.55073520218189
08/01/2027,9,31.128030710920747
08/01/2027,10,31.958725105767503
08/01/2027,11,32.79321521855608
08/01/2027,12,32.510291812581464
08/01/2027,13,31.36437545711609
08/01/2027,14,31.019175030068904
08/01/2027,15,32.61673511365252
08/01/2027,16,32.8451870725183
08/01/2027,17,31.49161890216681
08/01/2027,18,32.221750378738776
08/01/2027,19,31.146763377487744
08/01/2027,20,31.85312363830207
08/01/2027,21,31.943257496891043
08/01/2027,22,31.949879349581387
08/01/2027,23,32.03380907773296
08/01/2027,24,31.6782982344194
08/01/2027,25,33.04393822142512
08/01/2027,26,32.2366468338991
08/01/2027,27,32.352502461679435
08/01/2027,28,31.251573627168703
08/01/2027,29,32.12343265610119
08/01/2027,30,32.94277175660742
08/01/2027,31,31.574438186927324
08/01/2027,32,32.1830957114702
08/01/2027,33,31.652450291138944
08/01/2027,34,32.5647105498475
08/01/2027,35,30.65190094250591
09/01/2018,1,32.01027419996858
09/01/2018,2,32.09625651666993
09/01/2018,3,32.4867333272292
09/01/2018,4,32.16027790370553
09/01/2018,5,31.99369530920725
09/01/2018,6,31.930249415619382
09/01/2018,7,33.01088784540021
09/01/2018,8,32.027911116977656
09/01/2018,9,31.50752474151834
09/01/2018,10,32.08028836160966
09/01/2018,11,32.63163652006091
09/01/2018,12,32.37775605758644
09/01/2018,13,31.88365900765904
09/01/2018,14,31.49159372164906
09/01/2018,15,32.561557709835405
09/01/2018,16,32.862877691363025
09/01/2018,17,31.96211696397365
09/01/2018,18,32.40146484562253
09/01/2018,19,31.526611468574544
09/01/2018,20,32.19850530225048
09/01/2018,21,32.02683791854827
09/01/2018,22,32.26034272004227
09/01/2018,23,32.00357755269247
09/01/2018,24,31.957124281789177
09/01/2018,25,32.946095747611686
09/01/2018,26,32.2887983459071
09/01/2018,27,32.28256618096072
09/01/2018,28,31.375182957412203
09/01/2018,29,32.5366410155215
09/01/2018,30,32.56956162594933
09/01/2018,31,31.928325212542354
09/01/2018,32,32.10718186720002
09/01/2018,33,31.75604748359465
09/01/2018,34,32.36717657941355
09/01/2018,35,31.34891471765638
09/01/2019,1,32.04161670060417
09/01/2019,2,32.11979815146444
09/01/2019,3,32.53652859079375
09/01/2019,4,32.2104693985474
09/01/2019,5,32.00298840828441
09/01/2019,6,31.93111063284321
09/01/2019,7,33.06225988520006
09/01/2019,8,32.06164933950783
09/01/2019,9,31.539774295880445
09/01/2019,10,32.110151870634866
09/01/2019,11,32.701326868979166
09/01/2019,12,32.43366693102112
09/01/2019,13,31.909218977122745
09/01/2019,14,31.531151144539816
09/01/2019,15,32.613816940868254
09/01/2019,16,32.90994160781987
09/01/2019,17,32.00495679084607
09/01/2019,18,32.4340332184048
09/01/2019,19,31.55602374251954
09/01/2019,20,32.21247372598005
09/01/2019,21,32.087200536309915
09/01/2019,22,32.27728898939445
09/01/2019,23,32.0592373438888
09/01/2019,24,32.00424320207489
09/01/2019,25,33.004618793261805
09/01/2019,26,32.32344922448617
09/01/2019,27,32.33841904579953
09/01/2019,28,31.433402157855287
09/01/2019,29,32.54853253570178
09/01/2019,30,32.60567316150319
09/01/2019,31,31.976242706805152
09/01/2019,32,32.1576512331389
09/01/2019,33,31.81587432339144
09/01/2019,34,32.43211928378483
09/01/2019,35,31.36058876904981
09/01/2020,1,32.072959201239776
09/01/2020,2,32.143339786258935
09/01/2020,3,32.5863238543583
09/01/2020,4,32.26066089338926
09/01/2020,5,32.01228150736157
09/01/2020,6,31.93197185006705
09/01/2020,7,33.11363192499991
09/01/2020,8,32.095387562038006
09/01/2020,9,31.572023850242555
09/01/2020,10,32.14001537966008
09/01/2020,11,32.77101721789742
09/01/2020,12,32.489577804455806
09/01/2020,13,31.93477894658646
09/01/2020,14,31.57070856743057
09/01/2020,15,32.6660761719011
09/01/2020,16,32.9570055242767
09/01/2020,17,32.0477966177185
09/01/2020,18,32.46660159118708
09/01/2020,19,31.58543601646453
09/01/2020,20,32.22644214970961
09/01/2020,21,32.14756315407157
09/01/2020,22,32.294235258746625
09/01/2020,23,32.11489713508514
09/01/2020,24,32.05136212236061
09/01/2020,25,33.06314183891192
09/01/2020,26,32.35810010306523
09/01/2020,27,32.39427191063834
09/01/2020,28,31.49162135829837
09/01/2020,29,32.56042405588207
09/01/2020,30,32.64178469705705
09/01/2020,31,32.02416020106795
09/01/2020,32,32.20812059907779
09/01/2020,33,31.87570116318823
09/01/2020,34,32.497061988156105
09/01/2020,35,31.37226282044324
09/01/2021,1,32.10430170187537
09/01/2021,2,32.16688142105343
09/01/2021,3,32.63611911792285
09/01/2021,4,32.31085238823112
09/01/2021,5,32.021574606438726
09/01/2021,6,31.93283306729089
09/01/2021,7,33.16500396479976
09/01/2021,8,32.12912578456818
09/01/2021,9,31.604273404604665
09/01/2021,10,32.16987888868529
09/01/2021,11,32.84070756681568
09/01/2021,12,32.54548867789049
09/01/2021,13,31.96033891605017
09/01/2021,14,31.61026599032133
09/01/2021,15,32.71833540293395
09/01/2021,16,33.00406944073354
09/01/2021,17,32.09063644459091
09/01/2021,18,32.49916996396936
09/01/2021,19,31.614848290409533
09/01/2021,20,32.24041057343918
09/01/2021,21,32.20792577183322
09/01/2021,22,32.3111815280988
09/01/2021,23,32.17055692628147
09/01/2021,24,32.09848104264632
09/01/2021,25,33.12166488456203
09/01/2021,26,32.392750981644305
09/01/2021,27,32.45012477547715
09/01/2021,28,31.54984055874146
09/01/2021,29,32.572315576062365
09/01/2021,30,32.677896232610905
09/01/2021,31,32.07207769533074
09/01/2021,32,32.25858996501667
09/01/2021,33,31.93552800298502
09/01/2021,34,32.56200469252738
09/01/2021,35,31.38393687183667
09/01/2022,1,32.135644202510974
09/01/2022,2,32.19042305584793
09/01/2022,3,32.68591438148741
09/01/2022,4,32.36104388307299
09/01/2022,5,32.03086770551589
09/01/2022,6,31.93369428451472
09/01/2022,7,33.2163760045996
09/01/2022,8,32.16286400709836
09/01/2022,9,31.63652295896677
09/01/2022,10,32.1997423977105
09/01/2022,11,32.910397915733945
09/01/2022,12,32.60139955132517
09/01/2022,13,31.985898885513883
09/01/2022,14,31.649823413212086
09/01/2022,15,32.7705946339668
09/01/2022,16,33.05113335719037
09/01/2022,17,32.13347627146334
09/01/2022,18,32.53173833675163
09/01/2022,19,31.64426056435453
09/01/2022,20,32.254378997168736
09/01/2022,21,32.268288389594865
09/01/2022,22,32.328127797450975
09/01/2022,23,32.226216717477804
09/01/2022,24,32.14559996293203
09/01/2022,25,33.18018793021215
09/01/2022,26,32.42740186022337
09/01/2022,27,32.505977640315955
09/01/2022,28,31.60805975918455
09/01/2022,29,32.58420709624266
09/01/2022,30,32.71400776816476
09/01/2022,31,32.11999518959354
09/01/2022,32,32.30905933095556
09/01/2022,33,31.99535484278181
