Year,Month,Station,Forecasted_Temperature
2022,3,22,33.9
2022,3,23,32
2022,3,24,33.7
2022,3,25,34.8
2022,3,26,34.4
2022,3,27,32.2
2022,3,28,33.4
2022,3,29,32.9
2022,3,31,33.7
2022,3,32,33.2
2022,3,30,32.9
2022,3,33,33.5
2022,3,34,33.4
2022,3,35,33.2
2023,3,5,33.3
2023,3,1,32.5
2023,3,2,32.3
2023,3,3,31.4
2023,3,4,32.3
2023,3,6,32.1
2023,3,7,33.1
2023,3,9,33.1
2023,3,8,31.4
2023,3,10,32.4
2023,3,11,30.9
2023,3,12,32.5
2023,3,13,32.1
2023,3,14,31.5
2023,3,15,32.6
2023,3,16,33.2
2023,3,17,33.2
2023,3,18,32.5
2023,3,19,31.3
2023,3,21,31.6
2023,3,20,31.7
2023,3,22,33.1
2023,3,23,29.8
2023,3,24,32.7
2023,3,25,32.8
2023,3,26,32.8
2023,3,27,30.7
2023,3,28,32.3
2023,3,29,31.8
2023,3,31,32.6
2023,3,32,31.3
2023,3,30,31.7
2023,3,33,30.8
2023,3,34,31.8
2023,3,35,33.4
2024,3,1,32.2107609
2024,3,2,32.41310013
2024,3,3,31.42089621
2024,3,4,32.32431503
2024,3,5,32.2429074
2024,3,6,32.2639511
2024,3,7,32.86834678
2024,3,8,31.50365381
2024,3,9,32.22203813
2024,3,10,31.97297848
2024,3,11,30.57091313
2024,3,12,32.34869743
2024,3,13,32.22289953
2024,3,14,32.07062458
2024,3,15,32.21224946
2024,3,16,33.09924525
2024,3,17,32.80309523
2024,3,18,32.45806287
2024,3,19,31.7183252
2024,3,20,32.54440091
2024,3,21,32.01039521
2024,3,22,32.58858255
2024,3,23,30.79423244
2024,3,25,32.69776733
2024,3,26,32.73559159
2024,3,27,30.30947199
2024,3,28,32.32982773
2024,3,29,32.3116917
2024,3,30,30.56613292
2024,3,31,32.59966535
2024,3,32,31.95792967
2024,3,33,32.0532843
2024,3,34,31.89713135
2024,3,35,31.80799273
2025,3,1,32.21324593
2025,3,2,32.41103157
2025,3,3,31.40782146
2025,3,4,32.35381206
2025,3,5,32.29493037
2025,3,6,32.29732057
2025,3,7,32.86087691
2025,3,8,31.49566249
2025,3,9,32.27824701
2025,3,10,31.94677577
2025,3,11,30.54189812
2025,3,12,32.34972752
2025,3,13,32.23493034
2025,3,14,32.10795127
2025,3,15,32.20231772
2025,3,16,33.10534939
2025,3,17,32.846082
2025,3,18,32.43943895
2025,3,19,31.74946052
2025,3,20,32.52410076
2025,3,21,32.04453893
2025,3,22,32.57325886
2025,3,23,30.77712704
2025,3,25,32.71323987
2025,3,26,32.78757611
2025,3,27,30.28845915
2025,3,28,32.40839053
2025,3,29,32.26188219
2025,3,30,30.50836708
2025,3,31,32.66730082
2025,3,32,31.98130476
2025,3,33,32.09830266
2025,3,34,31.8897088
2025,3,35,31.8301574
2026,3,1,32.21573096
2026,3,2,32.40896301
2026,3,3,31.39474672
2026,3,4,32.38330909
2026,3,5,32.34695334
2026,3,6,32.33069005
2026,3,7,32.85340703
2026,3,8,31.48767116
2026,3,9,32.33445589
2026,3,10,31.92057305
2026,3,11,30.51288311
2026,3,12,32.35075761
2026,3,13,32.24696114
2026,3,14,32.14527797
2026,3,15,32.19238598
2026,3,16,33.11145353
2026,3,17,32.88906876
2026,3,18,32.42081503
2026,3,19,31.78059583
2026,3,20,32.5038006
2026,3,21,32.07868265
2026,3,22,32.55793517
2026,3,23,30.76002165
2026,3,25,32.7287124
2026,3,26,32.83956064
2026,3,27,30.26744631
2026,3,28,32.48695333
2026,3,29,32.21207268
2026,3,30,30.45060124
2026,3,31,32.7349363
2026,3,32,32.00467986
2026,3,33,32.14332102
2026,3,34,31.88228624
2026,3,35,31.85232206
2027,3,1,32.21821599
2027,3,2,32.40689445
2027,3,3,31.38167198
2027,3,4,32.41280612
2027,3,5,32.39897631
2027,3,6,32.36405953
2027,3,7,32.84593716
2027,3,8,31.47967984
2027,3,9,32.39066476
2027,3,10,31.89437034
2027,3,11,30.48386811
2027,3,12,32.3517877
2027,3,13,32.25899195
2027,3,14,32.18260467
2027,3,15,32.18245424
2027,3,16,33.11755768
2027,3,17,32.93205553
2027,3,18,32.40219111
2027,3,19,31.81173115
2027,3,20,32.48350044
2027,3,21,32.11282637
2027,3,22,32.54261148
2027,3,23,30.74291625
2027,3,25,32.74418494
2027,3,26,32.89154516
2027,3,27,30.24643347
2027,3,28,32.56551614
2027,3,29,32.16226317
2027,3,30,30.3928354
2027,3,31,32.80257178
2027,3,32,32.02805495
2027,3,33,32.18833938
2027,3,34,31.87486368
2027,3,35,31.87448673
2018,4,5,32.9
2018,4,1,33.5
2018,4,2,33.1
2018,4,3,31.8
2018,4,4,33.6
2018,4,6,32.9
2018,4,7,33.9
2018,4,9,33.5
2018,4,8,31.9
2018,4,10,33
2018,4,11,31.1
2018,4,12,33.1
2018,4,13,33.4
2018,4,14,32.9
2018,4,15,32.9
2018,4,16,34.8
2018,4,17,33.9
2018,4,18,34.6
2018,4,19,32.7
2018,4,21,33.5
2018,4,20,33.6
2018,4,22,34.5
2018,4,23,30.4
2018,4,24,34
2018,4,25,34
2018,4,26,33.7
2018,4,27,30.6
2018,4,28,32.7
2018,4,29,34.2
2018,4,31,33.4
2018,4,32,31.7
2018,4,30,30.9
2018,4,33,30.9
2018,4,34,31.9
2018,4,35,32.7
2019,4,5,33.6
2019,4,1,33.7
2019,4,2,33.9
2019,4,3,32.5
2019,4,4,34
2019,4,6,32.9
2019,4,7,34.5
2019,4,9,32.6
2019,4,8,33.7
2019,4,10,33.6
2019,4,11,31.3
2019,4,12,34.2
2019,4,13,34
2019,4,14,33.4
2019,4,15,34.1
2019,4,16,34.8
2019,4,17,33.9
2019,4,18,34.6
2019,4,19,33.1
2019,4,21,33.9
2019,4,20,33.9
2019,4,22,34.4
2019,4,23,31.6
2019,4,24,34.5
2019,4,25,34.5
2019,4,26,34.7
2019,4,27,31
2019,4,28,33.3
2019,4,29,34.3
2019,4,31,33.7
2019,4,32,32.9
2019,4,30,31.8
2019,4,33,32.4
2019,4,34,33.2
2019,4,35,33.4
2020,4,5,32.7
2020,4,1,33.6
2020,4,2,32.8
2020,4,3,32.2
2020,4,4,33.3
2020,4,6,32.7
2020,4,7,34.6
2020,4,9,33
2020,4,8,32.1
2020,4,10,33.8
2020,4,11,31.3
2020,4,12,34.1
2020,4,13,33.1
2020,4,14,32.5
2020,4,15,34.1
2020,4,16,34.9
2020,4,17,33.2
2020,4,18,34.4
2020,4,19,32.5
2020,4,21,33.4
2020,4,20,33.9
2020,4,22,34.7
2020,4,23,31.4
2020,4,24,33.9
2020,4,25,34.5
2020,4,26,34.5
2020,4,27,31.3
2020,4,28,32.5
2020,4,29,34.3
2020,4,31,33.1
2020,4,32,32.8
2020,4,30,31.6
2020,4,33,32.8
2020,4,34,33.1
2020,4,35,33.2
2021,4,5,34
2021,4,1,35.4
2021,4,2,35.1
2021,4,3,34.9
2021,4,4,35.2
2021,4,6,33.6
2021,4,7,36.7
2021,4,9,33.6
2021,4,8,34.6
2021,4,10,36.1
2021,4,11,34.1
2021,4,12,35.9
2021,4,13,35.9
2021,4,14,34.4
2021,4,15,36.7
2021,4,16,36.9
2021,4,17,35.6
2021,4,18,36.4
2021,4,19,33
2021,4,21,35.4
2021,4,20,35.7
2021,4,22,36.2
2021,4,23,33.7
2021,4,24,35.6
2021,4,25,37.5
2021,4,26,36.3
2021,4,27,33.3
2021,4,28,34.2
2021,4,29,35.4
2021,4,31,35.5
2021,4,32,35.1
2021,4,30,34.2
2021,4,33,33.8
2021,4,34,35.5
2021,4,35,33.6
2022,4,5,33
2022,4,1,33.8
2022,4,2,33.6
2022,4,3,33.4
2022,4,4,34.3
2022,4,6,33.1
2022,4,7,35.7
2022,4,9,33.4
2022,4,8,32.9
2022,4,10,34.1
2022,4,11,31.6
2022,4,12,34.4
2022,4,13,33.6
2022,4,14,33.1
2022,4,15,35.7
2022,4,16,35.7
2022,4,17,33.6
2022,4,18,35.1
2022,4,19,32.9
2022,4,21,33.7
2022,4,20,34.4
2022,4,22,35.3
2022,4,23,32
2022,4,24,34.1
2022,4,25,36.7
2022,4,26,34.8
